Module,Test Scenario,Test Case ID,Test Case Name,Test Steps,Test Data,Expected Result,Actual Result,Status,Priority,Fixed By,Tested By,Test Date
MODULE 1 - AUTHENTICATION : Registration,UI Validation,TC-CS-001,Verify all UI components load,Open app | Navigate to Register,None,"Name, Email, Password fields, and Register button visible",,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Valid Registration,TC-CS-002,Register with valid unique email,Enter valid details | Click Register,"john@test.com, Pass123!","Account created, JWT stored, User redirected to Home",,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Duplicate Registration,TC-CS-003,Register with existing email,Enter registered email | Click Register,existing@test.com,Error message: Email already in use,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Empty Registration,TC-CS-004,Submit empty fields,Leave all fields blank | Click Register,None,Validation errors for all required fields,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Empty Name,TC-CS-005,Register with empty Name,Leave Name blank | Fill others | Click Register,None,Validation error: Name is required,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Empty Email,TC-CS-006,Register with empty Email,Leave Email blank | Fill others | Click Register,None,Validation error: Email is required,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Empty Password,TC-CS-007,Register with empty Password,Leave Password blank | Fill others | Click Register,None,Validation error: Password is required,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Invalid Email,TC-CS-008,Register with missing '@',Enter 'testtest.com' | Click Register,testtest.com,Validation error: Invalid email format,,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Invalid Email,TC-CS-009,Register with missing domain,Enter 'test@' | Click Register,test@,Validation error: Invalid email format,,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Invalid Email,TC-CS-010,Register with only numbers,Enter '123456' | Click Register,123456,Validation error: Invalid email format,,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Weak Password,TC-CS-011,Password < 6 chars,Enter password '123' | Click Register,123,Validation error: Password too short,,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Weak Password,TC-CS-012,Password missing numbers,Enter password 'abcdef' | Click Register,abcdef,Validation error: Password must contain letters and numbers,,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Long Name,TC-CS-013,Name > 50 chars,Enter 55 char name | Click Register,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Validation error or truncation to 50 chars,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,Special Chars in Name,TC-CS-014,Name with !@#$,Enter 'John!@#' | Click Register,John!@#,Accpted or validated depending on rules,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,SQL Injection,TC-CS-015,Name with SQL inject,Enter 'DROP TABLE Users' | Click Register,DROP TABLE Users;,"Input sanitized, registered successfully cleanly",,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,XSS Payload,TC-CS-016,Email with XSS,Enter '<script>alert(1)</script>@test.com',<script>,Input sanitized,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Network Disconnect,TC-CS-017,Register offline,Turn off WiFi | Click Register,Valid data,Error: No internet connection,,Untested,Medium,None,None,
MODULE 1 - AUTHENTICATION : Registration,Server Timeout,TC-CS-018,Backend down,Simulate 503 backend | Click Register,Valid data,Error: Servers are currently busy,,Untested,High,None,None,
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 1,TC-CS-019,Toggle password masking 1,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 2,TC-CS-020,Toggle password masking 2,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 3,TC-CS-021,Toggle password masking 3,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 4,TC-CS-022,Toggle password masking 4,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 5,TC-CS-023,Toggle password masking 5,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
MODULE 1 - AUTHENTICATION : Registration,Password Visibility 6,TC-CS-024,Toggle password masking 6,Tap eye icon in password field,None,Password toggles between clear text and masked,,Untested,Low,None,None,
